t,x,y,heading,v,rudder,throttle
138.0,-84179.17091378976,59658.857226250315,2.8223125498923287,837.1770202354157,0.10911696,-18.380898
139.0,-87588.43274040296,62924.981726989536,2.6044139281183356,796.999707506496,0.0,0.0
139.0,-84988.62548371275,59927.239195741335,2.8229928279343737,868.4721273014137,-0.15996608,-17.48423
140.0,-88273.17964931251,63332.817728961236,2.6044139290398096,796.9997075064921,0.0,0.0
140.0,-85825.0284040498,60185.31844587324,2.845739640160579,877.7051264111411,0.174533,67.02948
141.0,-88957.92655821824,63740.653730939346,2.6044139276497127,796.9997075064958,0.0,0.0
141.0,-86666.1646358775,60441.111799231214,2.844643955937266,882.2639963047575,-0.034185424,72.01364
142.0,-89642.67346712503,64148.489732915696,2.604413927591598,796.9997075064987,0.0,0.0
142.0,-87525.46340268511,60674.260485304294,2.8978222676843433,901.5929757297233,-0.10216983,-21.502281
143.0,-90327.42037603458,64556.325734887396,2.6044139289880355,796.9997075064914,0.0,0.0
143.0,-88406.38177989073,60880.03622926774,2.920273225926664,904.7066341612991,-0.174533,-21.897835
144.0,-91012.16728494049,64964.16173686518,2.604413927543729,796.9997075064955,0.0,0.0
144.0,-89280.48590304589,61100.7876383304,2.8712492663076623,897.7006320484903,-0.062978916,-96.5
145.0,-91696.91419384799,65371.9977388403,2.604413927856644,796.9997075064957,0.0,0.0
145.0,-90129.32324912277,61376.49975939267,2.7540182854491415,887.6327600054226,0.174533,-96.5
146.0,-92381.66110275453,65779.83374081703,2.604413926065681,796.9997075064979,0.0,0.0
146.0,-90939.94510122319,61723.478694838326,2.7299097324471946,875.7582491529191,-0.174533,31.88594
147.0,-93066.40801165995,66187.66974279565,2.604413930580666,796.9997075064942,0.0,0.0
